rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_kneighborsregressor__leaf_size,param_kneighborsregressor__n_neighbors,param_kneighborsregressor__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,0.10094294548034669,0.012272509438038766,0.046997594833374026,0.00616949145272103,395,449.756250429919,13,distance,"{'columntransformer__countvectorizer__max_features': 395, 'kneighborsregressor__leaf_size': 449.756250429919, 'kneighborsregressor__n_neighbors': 13, 'kneighborsregressor__weights': 'distance'}",0.20001340926033362,0.2168807119260162,0.12867867107854147,0.13486431837539337,0.14953383089463312,0.16599418830698356,0.035718918445074514
2,0.1546018123626709,0.009103662500439333,0.044617414474487305,0.009957745662751951,411,401.08718055867035,22,distance,"{'columntransformer__countvectorizer__max_features': 411, 'kneighborsregressor__leaf_size': 401.08718055867035, 'kneighborsregressor__n_neighbors': 22, 'kneighborsregressor__weights': 'distance'}",0.1924415659571047,0.2056384540404962,0.1417109786385582,0.09780314141487345,0.1747686710047115,0.1624725622111488,0.03879640971270038
3,0.10622982978820801,0.0077402119330323834,0.03418221473693848,0.004886261191032046,344,434.3909398589283,22,distance,"{'columntransformer__countvectorizer__max_features': 344, 'kneighborsregressor__leaf_size': 434.3909398589283, 'kneighborsregressor__n_neighbors': 22, 'kneighborsregressor__weights': 'distance'}",0.18629718126404937,0.20544644460587846,0.1298240545849294,0.10755168988087949,0.17323947112183247,0.16047176829151383,0.03631116840525971
4,0.09699053764343261,0.01151427845289119,0.048177671432495114,0.010736540349210151,428,11.714433484990067,17,distance,"{'columntransformer__countvectorizer__max_features': 428, 'kneighborsregressor__leaf_size': 11.714433484990067, 'kneighborsregressor__n_neighbors': 17, 'kneighborsregressor__weights': 'distance'}",0.18051770452109583,0.21384157947000282,0.14143774256004282,0.09843771090583842,0.15363915444806564,0.1575747783810091,0.03864043626836906
5,0.10246477127075196,0.014399066612792239,0.038901472091674806,0.008122324149886935,385,160.667841578777,11,distance,"{'columntransformer__countvectorizer__max_features': 385, 'kneighborsregressor__leaf_size': 160.667841578777, 'kneighborsregressor__n_neighbors': 11, 'kneighborsregressor__weights': 'distance'}",0.2035675842631779,0.20883584940856825,0.12615112681171192,0.11984865980351256,0.1241050649230957,0.15650165704201327,0.04066498559840649
6,0.10561046600341797,0.011720784468888747,0.044562149047851565,0.006507613001392953,269,419.49416974311157,31,distance,"{'columntransformer__countvectorizer__max_features': 269, 'kneighborsregressor__leaf_size': 419.49416974311157, 'kneighborsregressor__n_neighbors': 31, 'kneighborsregressor__weights': 'distance'}",0.16870476764010478,0.1979601344410855,0.13822637392628212,0.12197793361017673,0.15025845040656682,0.1554255320048432,0.02617931287368508
7,0.14207077026367188,0.013373799724656419,0.05472784042358399,0.009224327870834406,388,426.4339717488012,27,uniform,"{'columntransformer__countvectorizer__max_features': 388, 'kneighborsregressor__leaf_size': 426.4339717488012, 'kneighborsregressor__n_neighbors': 27, 'kneighborsregressor__weights': 'uniform'}",0.17667418571634486,0.18911704643626537,0.13062596910757396,0.10703600230743926,0.16861991771127882,0.15441462425578045,0.030699089482426705
8,0.12878904342651368,0.01461655447979048,0.038084888458251955,0.004389148734357494,414,81.13831893697093,26,uniform,"{'columntransformer__countvectorizer__max_features': 414, 'kneighborsregressor__leaf_size': 81.13831893697093, 'kneighborsregressor__n_neighbors': 26, 'kneighborsregressor__weights': 'uniform'}",0.18014569392899815,0.1941002421526593,0.12939826631826268,0.1038121176884298,0.1615986723541869,0.15381099848850738,0.033085515793130585
9,0.11087546348571778,0.017889950746545882,0.059770822525024414,0.014227836521470413,159,279.4556931370161,16,distance,"{'columntransformer__countvectorizer__max_features': 159, 'kneighborsregressor__leaf_size': 279.4556931370161, 'kneighborsregressor__n_neighbors': 16, 'kneighborsregressor__weights': 'distance'}",0.18194160891033773,0.21674146767890734,0.14133041988097195,0.12646540313397014,0.10251205407911246,0.15379819073665993,0.040710447062706843
10,0.09848933219909668,0.012797053991142825,0.03610119819641113,0.0061634604409967425,252,462.79009055805744,21,distance,"{'columntransformer__countvectorizer__max_features': 252, 'kneighborsregressor__leaf_size': 462.79009055805744, 'kneighborsregressor__n_neighbors': 21, 'kneighborsregressor__weights': 'distance'}",0.18611205342307824,0.21417435504767912,0.10986354035635015,0.10354683097095674,0.1552244323435087,0.1537842424283146,0.04277137545909565
11,0.11356568336486816,0.019922500055215453,0.049387645721435544,0.010093924989944889,231,351.62556861314624,22,distance,"{'columntransformer__countvectorizer__max_features': 231, 'kneighborsregressor__leaf_size': 351.62556861314624, 'kneighborsregressor__n_neighbors': 22, 'kneighborsregressor__weights': 'distance'}",0.17427264225479377,0.20614194491289872,0.11747750167394566,0.11312840199573715,0.1522711746925023,0.1526583331059755,0.03500894553499308
12,0.1091033935546875,0.01625321261310145,0.041485023498535153,0.005743278475650192,315,470.56995074536695,27,uniform,"{'columntransformer__countvectorizer__max_features': 315, 'kneighborsregressor__leaf_size': 470.56995074536695, 'kneighborsregressor__n_neighbors': 27, 'kneighborsregressor__weights': 'uniform'}",0.16737851235920476,0.18979494338956493,0.12980349756092358,0.11377841617641904,0.16128456200733132,0.15240798629868874,0.02721727909355369
13,0.08955445289611816,0.011994434844072081,0.04066019058227539,0.00437361548941404,247,64.43503440776948,24,distance,"{'columntransformer__countvectorizer__max_features': 247, 'kneighborsregressor__leaf_size': 64.43503440776948, 'kneighborsregressor__n_neighbors': 24, 'kneighborsregressor__weights': 'distance'}",0.18008212349710429,0.19850742158339751,0.12470436046129363,0.10165798076655252,0.1550369276538155,0.15199776279243268,0.03532743881268296
14,0.12304201126098632,0.01603879745159416,0.04229435920715332,0.009524345919094452,379,242.9764201566566,43,distance,"{'columntransformer__countvectorizer__max_features': 379, 'kneighborsregressor__leaf_size': 242.9764201566566, 'kneighborsregressor__n_neighbors': 43, 'kneighborsregressor__weights': 'distance'}",0.16018677757288502,0.17817630957785646,0.1395477667149443,0.11630041087212628,0.16485608221260695,0.1518134693900838,0.021664930968471847
15,0.1470877170562744,0.035316889567375866,0.05581889152526855,0.01943403611277521,160,416.42625384716564,24,distance,"{'columntransformer__countvectorizer__max_features': 160, 'kneighborsregressor__leaf_size': 416.42625384716564, 'kneighborsregressor__n_neighbors': 24, 'kneighborsregressor__weights': 'distance'}",0.16842659331549592,0.21254510803334792,0.1338370509582686,0.1056843962242674,0.1380145016502855,0.15170153003633308,0.036347543763559774
16,0.1261155605316162,0.025721482213304322,0.042421579360961914,0.007108055578325292,386,207.2972826020055,19,uniform,"{'columntransformer__countvectorizer__max_features': 386, 'kneighborsregressor__leaf_size': 207.2972826020055, 'kneighborsregressor__n_neighbors': 19, 'kneighborsregressor__weights': 'uniform'}",0.1786054105307996,0.19987286698008744,0.13075174324195238,0.09201595782271188,0.15661735742312632,0.15157266719973553,0.037602233754260174
17,0.11453385353088379,0.019174173413704414,0.050172281265258786,0.009289397369738462,404,156.35620062334388,19,uniform,"{'columntransformer__countvectorizer__max_features': 404, 'kneighborsregressor__leaf_size': 156.35620062334388, 'kneighborsregressor__n_neighbors': 19, 'kneighborsregressor__weights': 'uniform'}",0.1731269857364025,0.2022878152911981,0.13260752020558386,0.08880539854126701,0.16061344721271098,0.1514882333974325,0.03851680611572405
18,0.09213237762451172,0.009735030852727837,0.0457150936126709,0.0078372407651001,260,187.6648497827238,29,uniform,"{'columntransformer__countvectorizer__max_features': 260, 'kneighborsregressor__leaf_size': 187.6648497827238, 'kneighborsregressor__n_neighbors': 29, 'kneighborsregressor__weights': 'uniform'}",0.16989018264130828,0.19301643686253478,0.12826405346672665,0.10855928791699199,0.157044309301288,0.15135485403776994,0.02992076650659549
19,0.1125600814819336,0.01600718667469201,0.05776820182800293,0.020347305819943474,363,470.31343316420356,12,uniform,"{'columntransformer__countvectorizer__max_features': 363, 'kneighborsregressor__leaf_size': 470.31343316420356, 'kneighborsregressor__n_neighbors': 12, 'kneighborsregressor__weights': 'uniform'}",0.1976607148125089,0.19921075825116374,0.11233840069212697,0.10978281862159023,0.1374821966990586,0.1512949778152897,0.03969224298604219
20,0.1064065933227539,0.009536918678575953,0.04363341331481933,0.0037443131188672285,232,58.74850150123528,34,distance,"{'columntransformer__countvectorizer__max_features': 232, 'kneighborsregressor__leaf_size': 58.74850150123528, 'kneighborsregressor__n_neighbors': 34, 'kneighborsregressor__weights': 'distance'}",0.16651145807101309,0.1945855610710866,0.12493253345594546,0.11374428586065521,0.15118023537018133,0.15019081476577634,0.02899850373553929
21,0.12322778701782226,0.013918528538095274,0.04983644485473633,0.00670238804590921,300,268.03069997764067,39,distance,"{'columntransformer__countvectorizer__max_features': 300, 'kneighborsregressor__leaf_size': 268.03069997764067, 'kneighborsregressor__n_neighbors': 39, 'kneighborsregressor__weights': 'distance'}",0.15911191053755191,0.18633360495708584,0.1285886269005313,0.10698675999337015,0.1610246281200609,0.14840910610172003,0.027642833374682242
22,0.11760182380676269,0.019740045361628093,0.04987444877624512,0.003126226903974376,263,191.22262804479445,12,distance,"{'columntransformer__countvectorizer__max_features': 263, 'kneighborsregressor__leaf_size': 191.22262804479445, 'kneighborsregressor__n_neighbors': 12, 'kneighborsregressor__weights': 'distance'}",0.19462540780127935,0.21168400237965035,0.12385825453416144,0.10167174063933693,0.1067627112765458,0.14772042332619478,0.04617106337725385
23,0.10965595245361329,0.008534668416295056,0.042775964736938475,0.008468875804325695,158,356.0199060379029,25,distance,"{'columntransformer__countvectorizer__max_features': 158, 'kneighborsregressor__leaf_size': 356.0199060379029, 'kneighborsregressor__n_neighbors': 25, 'kneighborsregressor__weights': 'distance'}",0.16030045255422698,0.20230624018942645,0.13360494019538105,0.10018327122250315,0.14040949325034002,0.14736087948237553,0.03361457889620546
24,0.11355185508728027,0.020122077619902833,0.04782533645629883,0.014135733085467617,204,97.46691378412663,22,distance,"{'columntransformer__countvectorizer__max_features': 204, 'kneighborsregressor__leaf_size': 97.46691378412663, 'kneighborsregressor__n_neighbors': 22, 'kneighborsregressor__weights': 'distance'}",0.15503490356130745,0.21006072197251613,0.11517114931127093,0.1122276957445133,0.14381588717741456,0.14726207155340448,0.0354208932053032
25,0.11208300590515137,0.010538065050891665,0.04132537841796875,0.004387997390432938,157,38.008587931857626,37,distance,"{'columntransformer__countvectorizer__max_features': 157, 'kneighborsregressor__leaf_size': 38.008587931857626, 'kneighborsregressor__n_neighbors': 37, 'kneighborsregressor__weights': 'distance'}",0.1458358473998831,0.19141781650061873,0.12787854637509966,0.11127899074853342,0.1570688945338823,0.14669601911160343,0.027264771335419134
26,0.11436409950256347,0.02174316232189924,0.038867855072021486,0.005501275972256107,375,21.036547775397146,41,uniform,"{'columntransformer__countvectorizer__max_features': 375, 'kneighborsregressor__leaf_size': 21.036547775397146, 'kneighborsregressor__n_neighbors': 41, 'kneighborsregressor__weights': 'uniform'}",0.15916064006176234,0.16574916841704124,0.13368662516815888,0.11099025180037836,0.16112214870834585,0.14614176683113733,0.020828406857633278
27,0.1124345302581787,0.012928754736856932,0.043012380599975586,0.006257313854396597,288,26.911251898827977,15,uniform,"{'columntransformer__countvectorizer__max_features': 288, 'kneighborsregressor__leaf_size': 26.911251898827977, 'kneighborsregressor__n_neighbors': 15, 'kneighborsregressor__weights': 'uniform'}",0.19458233387654955,0.19104658451298007,0.1174679223828945,0.09255228355436185,0.13448249699003012,0.1460263242633632,0.04047919267557079
28,0.12317943572998047,0.011931058807366016,0.050278520584106444,0.008814868179038452,384,195.47711315739062,47,distance,"{'columntransformer__countvectorizer__max_features': 384, 'kneighborsregressor__leaf_size': 195.47711315739062, 'kneighborsregressor__n_neighbors': 47, 'kneighborsregressor__weights': 'distance'}",0.14926156683385017,0.17123121103107575,0.13011703217676873,0.11509224445839406,0.16195742412486236,0.1455318957249902,0.020534622589369157
29,0.10287885665893555,0.006414519586530112,0.03967924118041992,0.004986704604692781,336,163.41458350109565,8,distance,"{'columntransformer__countvectorizer__max_features': 336, 'kneighborsregressor__leaf_size': 163.41458350109565, 'kneighborsregressor__n_neighbors': 8, 'kneighborsregressor__weights': 'distance'}",0.18112214110592462,0.22099477209645457,0.13834127595865997,0.09238637699169494,0.093052681760874,0.1451794495827216,0.050181489131871135
30,0.1213839054107666,0.008550997117991425,0.04269042015075684,0.011058336655547337,214,362.7689941380058,42,distance,"{'columntransformer__countvectorizer__max_features': 214, 'kneighborsregressor__leaf_size': 362.7689941380058, 'kneighborsregressor__n_neighbors': 42, 'kneighborsregressor__weights': 'distance'}",0.15215945198474,0.18391078991228438,0.1289814471337446,0.1106808660312758,0.14825256213681381,0.14479702343977172,0.02453600407420007
31,0.11477251052856445,0.005218689919019199,0.04555692672729492,0.0033145955824705306,230,447.30069070603435,45,distance,"{'columntransformer__countvectorizer__max_features': 230, 'kneighborsregressor__leaf_size': 447.30069070603435, 'kneighborsregressor__n_neighbors': 45, 'kneighborsregressor__weights': 'distance'}",0.1566925723485446,0.17649477680521664,0.12668673638308814,0.12084906684842378,0.1430206294018912,0.14474875635743287,0.020252815614900457
32,0.10898385047912598,0.02040488730992747,0.0399531364440918,0.007475230038894294,304,469.9000509751621,8,distance,"{'columntransformer__countvectorizer__max_features': 304, 'kneighborsregressor__leaf_size': 469.9000509751621, 'kneighborsregressor__n_neighbors': 8, 'kneighborsregressor__weights': 'distance'}",0.16959745006756544,0.22638943249036958,0.15695418046428355,0.07618941679239111,0.09352628512416972,0.14453135298775588,0.05432406140170776
33,0.09902944564819335,0.010689575319140401,0.03692669868469238,0.004653524106962092,185,416.16925951419273,33,uniform,"{'columntransformer__countvectorizer__max_features': 185, 'kneighborsregressor__leaf_size': 416.16925951419273, 'kneighborsregressor__n_neighbors': 33, 'kneighborsregressor__weights': 'uniform'}",0.15519589655617871,0.19213886655722923,0.11746248407831983,0.10541784660024811,0.14958514855565297,0.14396004846952576,0.030550635964351276
34,0.09206686019897461,0.013681408469686218,0.037331771850585935,0.0052191552185499755,331,120.32455002530529,47,uniform,"{'columntransformer__countvectorizer__max_features': 331, 'kneighborsregressor__leaf_size': 120.32455002530529, 'kneighborsregressor__n_neighbors': 47, 'kneighborsregressor__weights': 'uniform'}",0.1464997138969949,0.16575569024458736,0.1321059776191139,0.11710131001681212,0.15458525298252446,0.14320958895200656,0.017049866576451713
35,0.12912683486938475,0.02675237225962791,0.044800949096679685,0.006752020617996512,250,156.4486679474568,45,uniform,"{'columntransformer__countvectorizer__max_features': 250, 'kneighborsregressor__leaf_size': 156.4486679474568, 'kneighborsregressor__n_neighbors': 45, 'kneighborsregressor__weights': 'uniform'}",0.15074955585349947,0.17657087726406095,0.1269676848075364,0.11796404954258066,0.1416197199229724,0.14277437747813,0.020359489224541817
36,0.11747560501098633,0.016707639153178588,0.044887971878051755,0.0021565681174504684,207,199.32119890873167,22,uniform,"{'columntransformer__countvectorizer__max_features': 207, 'kneighborsregressor__leaf_size': 199.32119890873167, 'kneighborsregressor__n_neighbors': 22, 'kneighborsregressor__weights': 'uniform'}",0.1485031112230265,0.20569503869536943,0.1137226854448008,0.10485225564486966,0.13658931554313747,0.14187248131024077,0.035519301908461
37,0.11581611633300781,0.014123752856737877,0.03851094245910645,0.00697206973605421,198,376.78459109450245,35,uniform,"{'columntransformer__countvectorizer__max_features': 198, 'kneighborsregressor__leaf_size': 376.78459109450245, 'kneighborsregressor__n_neighbors': 35, 'kneighborsregressor__weights': 'uniform'}",0.147144191205129,0.18842256779003808,0.12093372500056743,0.10250062406554394,0.15027753698083035,0.14185572900842175,0.02916820081120113
38,0.12203044891357422,0.012863026528088807,0.08574037551879883,0.02767950435771222,307,138.7734610689286,45,uniform,"{'columntransformer__countvectorizer__max_features': 307, 'kneighborsregressor__leaf_size': 138.7734610689286, 'kneighborsregressor__n_neighbors': 45, 'kneighborsregressor__weights': 'uniform'}",0.15025521328187363,0.1647704642683786,0.1265041046979496,0.11324134534225216,0.15011803600291074,0.14097783271867295,0.018517580603588126
39,0.10785059928894043,0.01659473918006572,0.04026494026184082,0.002074203653097383,283,49.30028009793763,40,uniform,"{'columntransformer__countvectorizer__max_features': 283, 'kneighborsregressor__leaf_size': 49.30028009793763, 'kneighborsregressor__n_neighbors': 40, 'kneighborsregressor__weights': 'uniform'}",0.1491412873308553,0.1711635996248677,0.12429561735261385,0.10207302913532112,0.15347339812652327,0.14002938631403625,0.024171652687594913
40,0.12796220779418946,0.0199762231421489,0.051302623748779294,0.013597851577455236,153,331.3706866271225,46,uniform,"{'columntransformer__countvectorizer__max_features': 153, 'kneighborsregressor__leaf_size': 331.3706866271225, 'kneighborsregressor__n_neighbors': 46, 'kneighborsregressor__weights': 'uniform'}",0.14623410758574573,0.17024743102294804,0.12803550258531304,0.0986445981857601,0.14561852791041774,0.13775603345803694,0.02372163807646864
41,0.11760072708129883,0.011697242406144769,0.04561834335327149,0.00481484359520935,173,316.85948553694914,41,uniform,"{'columntransformer__countvectorizer__max_features': 173, 'kneighborsregressor__leaf_size': 316.85948553694914, 'kneighborsregressor__n_neighbors': 41, 'kneighborsregressor__weights': 'uniform'}",0.1357411538087373,0.17766179670162618,0.1267984851963877,0.09970925505548267,0.14757277237307254,0.13749669262706127,0.025535022871996497
42,0.11797351837158203,0.01435132405432502,0.04078807830810547,0.005647953383136705,338,383.1508726266937,57,distance,"{'columntransformer__countvectorizer__max_features': 338, 'kneighborsregressor__leaf_size': 383.1508726266937, 'kneighborsregressor__n_neighbors': 57, 'kneighborsregressor__weights': 'distance'}",0.13568387093974854,0.15662852692360807,0.12485261838729489,0.1112048665500015,0.15231519708424068,0.13613701597697875,0.01691620884980525
43,0.10114479064941406,0.0139074441263888,0.03368864059448242,0.0007725282286556963,303,190.00771901704587,55,distance,"{'columntransformer__countvectorizer__max_features': 303, 'kneighborsregressor__leaf_size': 190.00771901704587, 'kneighborsregressor__n_neighbors': 55, 'kneighborsregressor__weights': 'distance'}",0.13581608723263472,0.16486509910237412,0.12325234762488524,0.10845960648457365,0.1478548594666761,0.13604959998222876,0.019466530653101187
44,0.11402201652526855,0.017887743404142762,0.05008540153503418,0.018765175663226854,116,317.6166179685121,17,uniform,"{'columntransformer__countvectorizer__max_features': 116, 'kneighborsregressor__leaf_size': 317.6166179685121, 'kneighborsregressor__n_neighbors': 17, 'kneighborsregressor__weights': 'uniform'}",0.15300064809594172,0.20251072886314136,0.12381760587503976,0.08452828568724546,0.10936137519617029,0.13464372874350772,0.040523736657251425
45,0.15743279457092285,0.03991622396059651,0.03748307228088379,0.003613208165609649,264,487.0730130004093,57,distance,"{'columntransformer__countvectorizer__max_features': 264, 'kneighborsregressor__leaf_size': 487.0730130004093, 'kneighborsregressor__n_neighbors': 57, 'kneighborsregressor__weights': 'distance'}",0.13504060746492053,0.16338089997799177,0.12296861235346646,0.1085727191808713,0.14213711198378998,0.13441999019220802,0.018427636328648946
46,0.1130131721496582,0.009100499047490449,0.04777235984802246,0.009353221011886063,176,285.6897485967829,56,distance,"{'columntransformer__countvectorizer__max_features': 176, 'kneighborsregressor__leaf_size': 285.6897485967829, 'kneighborsregressor__n_neighbors': 56, 'kneighborsregressor__weights': 'distance'}",0.13900121499791673,0.164446792545059,0.11835986522467956,0.10909984431935627,0.13011070143976555,0.13220368370535543,0.019055937544956134
47,0.12185373306274414,0.007307255992782376,0.052133369445800784,0.011959709610417585,139,158.76912452676538,57,distance,"{'columntransformer__countvectorizer__max_features': 139, 'kneighborsregressor__leaf_size': 158.76912452676538, 'kneighborsregressor__n_neighbors': 57, 'kneighborsregressor__weights': 'distance'}",0.1439020916101177,0.1581816681716992,0.11736510295090596,0.10373478420846882,0.1318571904254966,0.13100816747333766,0.019159039141344477
48,0.10024337768554688,0.025122491756414473,0.04243931770324707,0.006497627072378648,435,284.31285407268,61,distance,"{'columntransformer__countvectorizer__max_features': 435, 'kneighborsregressor__leaf_size': 284.31285407268, 'kneighborsregressor__n_neighbors': 61, 'kneighborsregressor__weights': 'distance'}",0.12947031130790654,0.1486695892324612,0.12254571713575901,0.10596562813024513,0.14738820705144073,0.13080789057156253,0.016007109701622085
49,0.10089597702026368,0.01793970407248777,0.04125776290893555,0.009544736976864818,138,90.64232896527663,59,distance,"{'columntransformer__countvectorizer__max_features': 138, 'kneighborsregressor__leaf_size': 90.64232896527663, 'kneighborsregressor__n_neighbors': 59, 'kneighborsregressor__weights': 'distance'}",0.14715860648767165,0.15647846484769,0.1154823780613009,0.10309197562503325,0.12950637229017803,0.13034355946237478,0.019646798734668677
