rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_svr__C,param_svr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,0.21368627548217772,0.01672281905293297,0.0479485034942627,0.0028090995289390764,308,7.3113454769910735,0.0019814349276640365,"{'columntransformer__countvectorizer__max_features': 308, 'svr__C': 7.3113454769910735, 'svr__gamma': 0.0019814349276640365}",0.40268882244115256,0.3924987359703471,0.3772040023765959,0.3759983248105242,0.351377436694732,0.3799534644586704,0.017401565297614958
2,0.2172828197479248,0.009196547735113268,0.049821662902832034,0.00686161160742757,225,2.4677723440274604,0.003338706977300559,"{'columntransformer__countvectorizer__max_features': 225, 'svr__C': 2.4677723440274604, 'svr__gamma': 0.003338706977300559}",0.3739112682376675,0.3601579673310774,0.364869019363791,0.3391845720273572,0.33897737413518014,0.3554200402190147,0.014054240421895832
3,0.22906966209411622,0.016463629585408656,0.04411406517028808,0.004953529475958875,379,2.146198476246285,0.0036328920097844536,"{'columntransformer__countvectorizer__max_features': 379, 'svr__C': 2.146198476246285, 'svr__gamma': 0.0036328920097844536}",0.37088322186179346,0.3579659560944074,0.36512453488820373,0.3350836685723896,0.3381910382261216,0.3534496839285831,0.014358021401370182
4,0.21706714630126953,0.007768354530681581,0.04723997116088867,0.005200353031116601,437,6.1792472104746325,0.057036582128035716,"{'columntransformer__countvectorizer__max_features': 437, 'svr__C': 6.1792472104746325, 'svr__gamma': 0.057036582128035716}",0.3654598689255695,0.3737265698961818,0.31467629328649027,0.3274742769058264,0.3220231100039769,0.34067202380360895,0.024103032163522567
5,0.36183829307556153,0.021222499171323666,0.055341672897338864,0.0019178981999514312,175,118.90306623558558,0.0012825869301190313,"{'columntransformer__countvectorizer__max_features': 175, 'svr__C': 118.90306623558558, 'svr__gamma': 0.0012825869301190313}",0.4102827984120204,0.3510030753140422,0.3081200308372012,0.3822828134716584,0.24481981019508592,0.3393017056460016,0.05817514696872984
6,0.23856968879699708,0.010914515229039376,0.052350854873657225,0.004770741383093823,391,5109.0702249872065,0.04491071747107046,"{'columntransformer__countvectorizer__max_features': 391, 'svr__C': 5109.0702249872065, 'svr__gamma': 0.04491071747107046}",0.37003499409062357,0.36106202530351494,0.31112388433020854,0.32473608800232356,0.3142816804050914,0.3362477344263524,0.024509432158528834
7,0.23096389770507814,0.014289285707252762,0.0581362247467041,0.011872485802963127,312,97.7074998305957,0.04589739155617633,"{'columntransformer__countvectorizer__max_features': 312, 'svr__C': 97.7074998305957, 'svr__gamma': 0.04589739155617633}",0.3706250493690826,0.35466044673019426,0.3173059801021655,0.3192562671767596,0.30499958472557864,0.3333694656207561,0.024913259426912294
8,0.2982318878173828,0.021458614617629584,0.046381139755249025,0.007225569816892685,192,11.231704682121046,0.01915631864843832,"{'columntransformer__countvectorizer__max_features': 192, 'svr__C': 11.231704682121046, 'svr__gamma': 0.01915631864843832}",0.38347135848660163,0.31814211415348637,0.29061915520832515,0.3374456114371329,0.2676309385244403,0.31946183556199725,0.03985152188326207
9,0.21483979225158692,0.007785071026532802,0.04189839363098145,0.0052223972510153085,304,3225.5272380164834,0.1272062767946053,"{'columntransformer__countvectorizer__max_features': 304, 'svr__C': 3225.5272380164834, 'svr__gamma': 0.1272062767946053}",0.30603187260263776,0.34967688642877737,0.29730665183110727,0.2743340959753098,0.2964481265302371,0.30475952667361383,0.024777084656902558
10,0.2390148162841797,0.016990147688129453,0.06079883575439453,0.011889800786936857,188,0.26973788347855704,0.05548096289578808,"{'columntransformer__countvectorizer__max_features': 188, 'svr__C': 0.26973788347855704, 'svr__gamma': 0.05548096289578808}",0.30441763759935214,0.3130977061824296,0.28606105653020175,0.25376371534847464,0.3099534853626207,0.2934587202046158,0.021946679733791028
11,0.36847991943359376,0.014823422621066439,0.05762672424316406,0.010874441429260733,212,60.72986785522943,0.021991913760241014,"{'columntransformer__countvectorizer__max_features': 212, 'svr__C': 60.72986785522943, 'svr__gamma': 0.021991913760241014}",0.3531449925593271,0.28874958371636794,0.27920162542585947,0.28711789654225606,0.2510837254561262,0.29185956473998736,0.03349910912023651
12,0.22955217361450195,0.021714845261307132,0.04509377479553223,0.004758045218459501,132,1.7762543238920123,0.1410648535047206,"{'columntransformer__countvectorizer__max_features': 132, 'svr__C': 1.7762543238920123, 'svr__gamma': 0.1410648535047206}",0.27799526947066555,0.33575918215048073,0.28905210772906764,0.26364701213577335,0.2805785565429174,0.2894064256057809,0.024578025629817465
13,0.21200089454650878,0.007183339294964922,0.05012621879577637,0.009351940877203025,338,1.0569114983822856,0.0025339127656317465,"{'columntransformer__countvectorizer__max_features': 338, 'svr__C': 1.0569114983822856, 'svr__gamma': 0.0025339127656317465}",0.2851519997115719,0.27857802794676645,0.2955362470465759,0.2527376738227344,0.2851611310821055,0.2794330159219508,0.014409749656110917
14,0.2107398509979248,0.02152729590202148,0.04741997718811035,0.0017927207709815295,374,1.2883492325734685,0.0020131603145300487,"{'columntransformer__countvectorizer__max_features': 374, 'svr__C': 1.2883492325734685, 'svr__gamma': 0.0020131603145300487}",0.28248250748813364,0.2754564576607177,0.29333289329891443,0.25146647016712353,0.2814406054893468,0.2768357868208472,0.01393376551992816
15,0.22665028572082518,0.017194712783747946,0.05274152755737305,0.01119197245190352,158,82.08781286227855,0.2076351304541143,"{'columntransformer__countvectorizer__max_features': 158, 'svr__C': 82.08781286227855, 'svr__gamma': 0.2076351304541143}",0.233314350789113,0.30026275811370806,0.26240420816560106,0.22303526040887378,0.24212261556489245,0.25222783860843767,0.027287191740561947
16,0.21866583824157715,0.020038715664996622,0.047520017623901366,0.00947475104411106,253,0.15036216873089092,0.06456549865349608,"{'columntransformer__countvectorizer__max_features': 253, 'svr__C': 0.15036216873089092, 'svr__gamma': 0.06456549865349608}",0.24700938566318886,0.27390552513758615,0.2601285171729306,0.1962118430314136,0.2698112561155308,0.24941330542413,0.028167127694045502
17,0.5206257343292237,0.03207798448187792,0.04850292205810547,0.006727178210890655,276,159.51023425544122,0.003957097400498673,"{'columntransformer__countvectorizer__max_features': 276, 'svr__C': 159.51023425544122, 'svr__gamma': 0.003957097400498673}",0.37749378362101627,0.24103209962872008,0.19214205148429064,0.2775917460643351,0.14555390723867379,0.24676271760740714,0.0791208203484488
18,0.20491104125976561,0.01522535172014168,0.041049528121948245,0.00609181787675486,198,0.25561150690611073,0.1327236816184204,"{'columntransformer__countvectorizer__max_features': 198, 'svr__C': 0.25561150690611073, 'svr__gamma': 0.1327236816184204}",0.2375778435893271,0.27382809123799834,0.2532335124739179,0.19291618277576228,0.26847744830383935,0.24520661567616903,0.029043550482639235
19,0.21502237319946288,0.015162794615569474,0.0493194580078125,0.005770487543246258,156,21.125135575739712,0.22037433791340294,"{'columntransformer__countvectorizer__max_features': 156, 'svr__C': 21.125135575739712, 'svr__gamma': 0.22037433791340294}",0.22343397573395607,0.291081297496829,0.2559209205866051,0.21270630612204544,0.23036295113614047,0.2427010902151152,0.02806616048135065
20,0.4970592975616455,0.0234558612438238,0.05412273406982422,0.0067950625011746375,167,104.787619403751,0.006793451538894223,"{'columntransformer__countvectorizer__max_features': 167, 'svr__C': 104.787619403751, 'svr__gamma': 0.006793451538894223}",0.31100940522011633,0.20913962178359724,0.15598647213448436,0.2712374224752573,0.1356016711352963,0.2165949185497503,0.06661646925792496
21,0.21059565544128417,0.016289665669769596,0.048237276077270505,0.008253392578647248,250,0.13191110283999083,0.10656215907960478,"{'columntransformer__countvectorizer__max_features': 250, 'svr__C': 0.13191110283999083, 'svr__gamma': 0.10656215907960478}",0.20599874727827794,0.23082934697488355,0.22306741435822008,0.1506558130110066,0.23628727766506818,0.20936771985749125,0.0310849920131389
22,0.44738969802856443,0.012107918332517452,0.04689569473266601,0.0035249958447182614,198,160.31873423829194,0.007731109165229405,"{'columntransformer__countvectorizer__max_features': 198, 'svr__C': 160.31873423829194, 'svr__gamma': 0.007731109165229405}",0.2896597710071076,0.20693357071474816,0.17622634437080076,0.22531772812740225,0.11577185553950109,0.202781853951912,0.0571818323624244
23,0.536391019821167,0.023467569016429202,0.050705337524414064,0.005266090820965765,223,4660.207139328414,0.005301605851373888,"{'columntransformer__countvectorizer__max_features': 223, 'svr__C': 4660.207139328414, 'svr__gamma': 0.005301605851373888}",0.3060510927068185,0.18818084692482095,0.14835680391964323,0.20083086424813368,0.12694677445536462,0.1940732764509562,0.061992548234217876
24,0.4776036262512207,0.025132867105766975,0.06132731437683105,0.012038605379595797,151,1166.4508737742108,0.00787349937749258,"{'columntransformer__countvectorizer__max_features': 151, 'svr__C': 1166.4508737742108, 'svr__gamma': 0.00787349937749258}",0.27658052462798444,0.2269080672601641,0.07877223591410587,0.1859866866009494,0.1370795662178973,0.18106541612422022,0.06877143771689427
25,0.22713522911071776,0.01307034772214033,0.04824142456054688,0.007968970889556153,207,0.5254081252625634,0.0015457459699343258,"{'columntransformer__countvectorizer__max_features': 207, 'svr__C': 0.5254081252625634, 'svr__gamma': 0.0015457459699343258}",0.17366485789818265,0.16898946540934712,0.17375514153006355,0.15018043917418777,0.1755125063790245,0.16842048207816113,0.009373172195829872
26,0.2282120704650879,0.01676365852665476,0.04635753631591797,0.006273725353332062,200,0.0844969227081577,0.012395394752300929,"{'columntransformer__countvectorizer__max_features': 200, 'svr__C': 0.0844969227081577, 'svr__gamma': 0.012395394752300929}",0.1720719219314799,0.1738231321048993,0.17307455600116994,0.135545390792989,0.17512818730791313,0.16592863762769025,0.015224326172449013
27,0.20354161262512208,0.01216713378032669,0.05367059707641601,0.011984712674056548,232,0.046677019952932775,0.02108318602970307,"{'columntransformer__countvectorizer__max_features': 232, 'svr__C': 0.046677019952932775, 'svr__gamma': 0.02108318602970307}",0.14677235081497808,0.14504023793980436,0.14626321383927632,0.10204043257724715,0.15209483662285317,0.1384422143588318,0.018360702235940544
28,0.2104008674621582,0.017042074570444196,0.05101146697998047,0.008119962284139687,336,0.1651217067653553,0.2559235557490051,"{'columntransformer__countvectorizer__max_features': 336, 'svr__C': 0.1651217067653553, 'svr__gamma': 0.2559235557490051}",0.11581607394817339,0.13478982020549846,0.1270322428335353,0.06079680484836614,0.13429808170625768,0.1145466047083662,0.027736085930769424
29,0.20806899070739746,0.006853571672619044,0.04712200164794922,0.0043036539185170595,300,4.8131544682687375,0.3987161675895086,"{'columntransformer__countvectorizer__max_features': 300, 'svr__C': 4.8131544682687375, 'svr__gamma': 0.3987161675895086}",0.10126699835062569,0.12368814814146734,0.12439818624356935,0.0800043986940231,0.09157404056194729,0.10418635439832655,0.01755675475403038
30,0.22911324501037597,0.04714248783365124,0.048893165588378903,0.0032422733246715066,400,0.12235646815506826,0.002069064426902789,"{'columntransformer__countvectorizer__max_features': 400, 'svr__C': 0.12235646815506826, 'svr__gamma': 0.002069064426902789}",0.08052735332905403,0.07946309423964537,0.070797454155762,0.06296457081141027,0.07923714073310051,0.07459792265379443,0.006784229108352416
31,0.2070998191833496,0.011465529654405036,0.05977010726928711,0.009889492494811922,360,0.032721128100458616,0.007405494762554089,"{'columntransformer__countvectorizer__max_features': 360, 'svr__C': 0.032721128100458616, 'svr__gamma': 0.007405494762554089}",0.05944084876984557,0.061298466808219376,0.05560247555158082,0.04037629301823764,0.06824863674636261,0.0569933441788492,0.009265709634667897
32,0.2215869426727295,0.018683689478922755,0.050257539749145506,0.0031162975554164976,101,289.8310717369359,0.5575744788582225,"{'columntransformer__countvectorizer__max_features': 101, 'svr__C': 289.8310717369359, 'svr__gamma': 0.5575744788582225}",0.0491294907292682,0.06796469837306118,0.06607561457449329,0.04283966790538485,0.03878130470684704,0.05295815525781091,0.011960682464745687
33,0.21925773620605468,0.017873249381110106,0.0419102668762207,0.0031300558983878676,430,55.00457445552852,0.5323644754169701,"{'columntransformer__countvectorizer__max_features': 430, 'svr__C': 55.00457445552852, 'svr__gamma': 0.5323644754169701}",0.03835303307100357,0.04555125240085456,0.05087899187278622,0.026909607548890047,0.02571261857108542,0.037481100692923965,0.00995635215804241
34,0.21623539924621582,0.013313490701685764,0.04827275276184082,0.004658581856685891,414,0.011639557366631262,0.12047152123959853,"{'columntransformer__countvectorizer__max_features': 414, 'svr__C': 0.011639557366631262, 'svr__gamma': 0.12047152123959853}",0.02661961107412769,0.03310551334093148,0.059807221637941055,0.025055485575096514,0.03110302010085697,0.03513817034579074,0.012674404190362254
35,0.22630109786987304,0.02676574067308112,0.05002470016479492,0.006694439165394952,138,2424.386262762978,0.6348911201435986,"{'columntransformer__countvectorizer__max_features': 138, 'svr__C': 2424.386262762978, 'svr__gamma': 0.6348911201435986}",0.02194372902964714,0.030433595062721808,0.0331055613215141,0.018357719149872498,0.012409947720488534,0.023250110456848817,0.007640466165272049
36,0.2065065860748291,0.010106702324188532,0.054360246658325194,0.007338250582392292,232,0.005655604365274428,0.009622141327911757,"{'columntransformer__countvectorizer__max_features': 232, 'svr__C': 0.005655604365274428, 'svr__gamma': 0.009622141327911757}",-0.0010603328162359649,0.00459564470738838,0.027949828404924215,0.029740276942633037,-0.007514692379394949,0.010742144971862943,0.01528020579063834
37,0.2582225322723389,0.014749960878325917,0.04819645881652832,0.002223966515288272,344,1026.7699692325336,0.7372519365575712,"{'columntransformer__countvectorizer__max_features': 344, 'svr__C': 1026.7699692325336, 'svr__gamma': 0.7372519365575712}",0.0035430788195698337,0.008911299598569511,0.009844116579758144,-0.0010446999090822917,-0.00422762633242324,0.0034052337512783916,0.005474622125689153
38,0.21999101638793944,0.02029693207266894,0.04533720016479492,0.0028814407907357545,230,1556.7170063330993,0.9345594490671635,"{'columntransformer__countvectorizer__max_features': 230, 'svr__C': 1556.7170063330993, 'svr__gamma': 0.9345594490671635}",-0.0033143113344209496,0.0003197973828166223,0.0002526186235377592,-0.007965122577152206,-0.009923958645579045,-0.004126195310159564,0.004194077737400551
39,0.22344131469726564,0.019006052896650093,0.050075531005859375,0.0032120518217924406,254,0.005480011325495234,0.0015761983043265646,"{'columntransformer__countvectorizer__max_features': 254, 'svr__C': 0.005480011325495234, 'svr__gamma': 0.0015761983043265646}",-0.014802478749698311,-0.007995160051294192,0.008339995957800328,0.013564813304236978,-0.024126991130882347,-0.005003964133967509,0.014096163092810187
40,0.24479737281799316,0.0166716005979639,0.04837508201599121,0.0068768292319235785,235,75.91534268264388,1.0225460198205134,"{'columntransformer__countvectorizer__max_features': 235, 'svr__C': 75.91534268264388, 'svr__gamma': 1.0225460198205134}",-0.005110732387710426,-0.0011403452888112398,-0.0017530070574200973,-0.009374399223655905,-0.011188266284483328,-0.005713350048416199,0.004008436753602852
41,0.19945034980773926,0.015027405548786317,0.048207426071166994,0.004711273223147991,404,0.13151848841217453,563.5467967084514,"{'columntransformer__countvectorizer__max_features': 404, 'svr__C': 0.13151848841217453, 'svr__gamma': 563.5467967084514}",-0.0036588774320425177,-0.0009216394300706199,-0.01126673204172346,-0.018088803928281383,-0.004141884964031117,-0.00761558755922982,0.006253802418550878
42,0.2441633701324463,0.00678856719890022,0.051595878601074216,0.010716647398747607,297,28.95824880136255,1.4051989485754788,"{'columntransformer__countvectorizer__max_features': 297, 'svr__C': 28.95824880136255, 'svr__gamma': 1.4051989485754788}",-0.007017651799772429,-0.0029154915764120215,-0.004722205513367106,-0.011316238246524168,-0.012588344098397153,-0.007711986246894576,0.003720127649846031
43,0.21567387580871583,0.015055374076078152,0.038138198852539065,0.0006142233887159344,265,1.195324260750905,1.9017485736879176,"{'columntransformer__countvectorizer__max_features': 265, 'svr__C': 1.195324260750905, 'svr__gamma': 1.9017485736879176}",-0.005821449687804181,-0.0024357672951280662,-0.0069238965778521955,-0.01328943961046769,-0.010416528151870663,-0.007777416264624559,0.003753260655408648
44,0.25217471122741697,0.02061357229757892,0.04823770523071289,0.005553085322216638,423,5708.021002403248,1.4092226016694942,"{'columntransformer__countvectorizer__max_features': 423, 'svr__C': 5708.021002403248, 'svr__gamma': 1.4092226016694942}",-0.00705937320663419,-0.003006778449015979,-0.004837007195516163,-0.011371817161890618,-0.012637834332446918,-0.0077825620691007735,0.0037003736487630605
45,0.2933680057525635,0.015072691503067758,0.05924525260925293,0.009773505648144217,179,1.357644946961676,350.9300253955309,"{'columntransformer__countvectorizer__max_features': 179, 'svr__C': 1.357644946961676, 'svr__gamma': 350.9300253955309}",-0.006239229430647919,-0.0027407440024371788,-0.006341851989419167,-0.012676530471814829,-0.011192257875515477,-0.007838122753966914,0.003617705567192473
46,0.2263406753540039,0.014968891592643706,0.04946799278259277,0.010210649212841741,384,0.0012597224327260904,0.0098858398780636,"{'columntransformer__countvectorizer__max_features': 384, 'svr__C': 0.0012597224327260904, 'svr__gamma': 0.0098858398780636}",-0.017726050723903874,-0.01085466850676009,0.006908011800602187,0.010370073950960124,-0.028053857470979215,-0.007871298190016173,0.01459128511451243
47,0.23810286521911622,0.008171312063046,0.048317766189575194,0.010112584252399087,240,0.6159843235168415,202.12362532502263,"{'columntransformer__countvectorizer__max_features': 240, 'svr__C': 0.6159843235168415, 'svr__gamma': 202.12362532502263}",-0.003105684085674021,-0.0006679831918328105,-0.012662733704958073,-0.017492177516054808,-0.0057051913660250975,-0.007926753972908962,0.006241708742135631
48,0.25920610427856444,0.0172017344914211,0.05857534408569336,0.00427448530592313,379,1.9177594617393376,3.0938758096451413,"{'columntransformer__countvectorizer__max_features': 379, 'svr__C': 1.9177594617393376, 'svr__gamma': 3.0938758096451413}",-0.007101777268420761,-0.003137174090159567,-0.005332506029892103,-0.011712628867991404,-0.012543962177606227,-0.007965609686814012,0.003633034431443143
49,0.21984658241271973,0.01161275138340483,0.04304318428039551,0.0026698376939911284,324,15.855059934625963,2.095458446458717,"{'columntransformer__countvectorizer__max_features': 324, 'svr__C': 15.855059934625963, 'svr__gamma': 2.095458446458717}",-0.007240479864587979,-0.0031587820895624397,-0.005155850002105389,-0.011566561951780185,-0.012752545885633682,-0.007974843958733935,0.0036717119528045894
50,0.2343297004699707,0.009513533132647262,0.04685864448547363,0.008651454142490592,214,102.03893518461526,2.2862033526925667,"{'columntransformer__countvectorizer__max_features': 214, 'svr__C': 102.03893518461526, 'svr__gamma': 2.2862033526925667}",-0.0072447668773873986,-0.003166397185274006,-0.005164366506595464,-0.011557472403733282,-0.012758890383788524,-0.007978378671355734,0.0036681117956767046
